 5  498.0
 6  413.0
 7  448.0
 8  554.0
 9  532.0
10  685.0
11  725.0
12  726.0
13  709.0
14  620.0
15  810.0
16  854.0
17  813.0
18  793.0
19  869.0
20  872.0
21  855.0
22  852.0
23  809.0
24  808.0
25  894.0
26  791.0
27  780.0
28  831.0
29  863.0
30  942.0
31  915.0
32 1010.0
33 1040.0
34 1080.0
35 1090.0
36 1020.0
37  993.0
38 1020.0
39 1090.0
40 1100.0
41 1130.0
42 1170.0
43 1150.0
44 1110.0
45 1030.0
46 1070.0
47 1130.0
48 1140.0
49 1200.0
50 1200.0
51 1180.0
52 1110.0
53 1110.0
54 1180.0
55 1130.0
56 1090.0
57 1020.0
58 1030.0
59 1040.0
60 1020.0
61  994.0
62  950.0
63  847.0
64  827.0
65  835.0
66  878.0
67  875.0
68  866.0
69  845.0
70  839.0
71  936.0
72  962.0
73  967.0
74 1020.0
75 1090.0
76 1140.0
77 1100.0
78 1040.0
79 1020.0
80  954.0
