 5  648.0
 6  746.0
 7  727.0
 8  655.0
 9  652.0
10  557.0
11  424.0
12  444.0
13  433.0
14  294.0
15  288.0
16  330.0
17  432.0
18  465.0
19  400.0
20  393.0
21  405.0
22  440.0
23  445.0
24  457.0
25  376.0
26  496.0
27  493.0
28  443.0
29  421.0
30  358.0
31  356.0
32  288.0
33  240.0
34  207.0
35  207.0
36  268.0
37  290.0
38  250.0
39  201.0
40  187.0
41  177.0
42  164.0
43  175.0
44  213.0
45  233.0
46  209.0
47  167.0
48  153.0
49  133.0
50  117.0
51  154.0
52  188.0
53  197.0
54  166.0
55  181.0
56  227.0
57  255.0
58  271.0
59  233.0
60  260.0
61  291.0
62  308.0
63  421.0
64  437.0
65  450.0
66  360.0
67  377.0
68  398.0
69  415.0
70  401.0
71  371.0
72  335.0
73  295.0
74  245.0
75  195.0
76  176.0
77  201.0
78  256.0
79  279.0
80  267.0
